time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg
16.409137,12.409729,10.211114,1.4570283,-0.028993752,0.05297516,-0.22597703,-2.4320993351012117,1.1785244672218478,-66.28230813338064
16.499073,12.410975,10.213724,1.4625932,-4.4982648e-05,0.010856777,-0.2345853,-2.4220803140571627,1.1976115210393157,-66.24606038072511
16.607186,12.412114,10.212544,1.4687202,0.01923785,0.08405601,-0.21968494,-2.4364004195575046,1.1630681028618464,-66.2411327513286
16.706189,12.412279,10.210864,1.4728339,0.01683885,0.069427416,-0.21390739,-2.3961062699398528,1.1887650730861232,-66.20981813776936
16.805234,12.411835,10.209594,1.4763966,0.004977457,0.02751615,-0.2087628,-2.401326854818953,1.1763981924707416,-66.17923681535648
16.904142,12.411424,10.208649,1.4786655,-0.040797822,-0.00013410274,-0.20454201,-2.3908118994546603,1.191418910439463,-66.16206404252806
17.003281,12.410469,10.207884,1.4834554,-0.04624625,-0.008431458,-0.2014773,-2.3949742117899966,1.1840826051513649,-66.20392198482851
17.102207,12.409744,10.206792,1.4880614,-0.038836785,0.023265325,-0.18679568,-2.3877891488203056,1.1859837898495698,-66.19903189020823
17.201515,12.408472,10.204529,1.4915099,-0.039697852,0.011029109,-0.18415612,-2.389513091900333,1.1761013494735018,-66.17695923384927
17.309226,12.406002,10.200761,1.4928265,-0.043012694,0.012156655,-0.17441548,-2.3874840963359336,1.1809437912556624,-66.15858969034464
17.408317,12.403643,10.196448,1.4976147,-0.046650976,-0.004198675,-0.16836028,-2.389957550289647,1.1830780586188296,-66.16083450368474
17.507261,12.400624,10.190349,1.5047884,-0.052985586,-0.010459098,-0.16284886,-2.391973902769862,1.183808621336722,-66.1459109338108
17.606398,12.397222,10.184149,1.5120925,-0.05218373,-0.017354427,-0.15320852,-2.3863434537021906,1.181890516080322,-66.13209089643212
17.705276,12.393983,10.177927,1.5175068,-0.05902767,-0.023402225,-0.14731598,-2.3888239047300446,1.183452038809511,-66.11795870666444
17.804328,12.391197,10.171752,1.5230024,-0.061663136,-0.029869739,-0.1447452,-2.3850445846070634,1.1734507246571526,-66.10708256888974
17.90333,12.38785,10.165635,1.5279589,-0.06340515,-0.033737704,-0.1366148,-2.3775367526672615,1.1662384833554351,-66.12744555877856
18.002371,12.385021,10.159252,1.5346074,-0.06781727,-0.04431402,-0.13183002,-2.368615616040014,1.1660693743368533,-66.1309765432924
18.110312,12.38219,10.152513,1.5409778,-0.06941898,-0.04758698,-0.12652627,-2.3661841511777486,1.1698197038721707,-66.11583735515191
18.200383,12.380173,10.146794,1.5461023,-0.0730855,-0.054556575,-0.1221441,-2.3593853821642656,1.166619564092574,-66.11960774055181
18.308331,12.377648,10.139558,1.5496206,-0.0689336,-0.06382009,-0.119036086,-2.3525172230548477,1.178573314184857,-66.12179013615686
18.407468,12.374785,10.132766,1.5543274,-0.06916999,-0.073177405,-0.113763236,-2.3467197172953744,1.182234783549385,-66.11373006785988
18.506412,12.372588,10.126076,1.5620792,-0.069670446,-0.0776656,-0.10576527,-2.338850914048823,1.187319733321676,-66.09627092447481
18.605444,12.370267,10.119296,1.5688506,-0.07301269,-0.0811628,-0.10339979,-2.3309958119202037,1.197068129147897,-66.08735700157456
18.704476,12.367956,10.113079,1.5748963,-0.07637009,-0.08405846,-0.0988113,-2.322694407440052,1.2091092171247022,-66.0931240112966
18.803464,12.36585,10.106907,1.5811327,-0.078791015,-0.0857664,-0.0913517,-2.318797342467323,1.2105714452786165,-66.08845140664646
18.902475,12.363589,10.099447,1.5867225,-0.08074407,-0.09309784,-0.089616425,-2.309510860744804,1.2129532687111706,-66.0917648572834
19.001579,12.361925,10.093287,1.5933206,-0.080757275,-0.09578882,-0.087358624,-2.2953844080766173,1.2152593679393076,-66.08745205414375
19.100484,12.359791,10.086535,1.600279,-0.07910459,-0.10015052,-0.08199368,-2.283248055862045,1.212243663799003,-66.09231455038382
19.208566,12.358042,10.079235,1.6077057,-0.073314376,-0.10919955,-0.07717283,-2.26858945193187,1.2102126645151976,-66.093649994411
19.307497,12.356348,10.072285,1.6124657,-0.07284804,-0.11398708,-0.07425816,-2.260429080447192,1.2176426590224587,-66.10266119067667
19.406641,12.353739,10.064471,1.6185585,-0.07544547,-0.12019444,-0.07052103,-2.2552893276952433,1.223762580270755,-66.10560599129798
19.505563,12.352504,10.058108,1.6262729,-0.07377601,-0.124505855,-0.06685833,-2.243161637681214,1.2255146146666032,-66.10490663218941
19.604558,12.349964,10.051337,1.6332557,-0.073705256,-0.12923707,-0.06325722,-2.2292229737449167,1.2392654226759279,-66.10082544022306
19.703621,12.34797,10.04495,1.6397637,-0.073574714,-0.12688032,-0.0612969,-2.2097499076134293,1.248866371956525,-66.10842459268942
19.802545,12.346326,10.038756,1.6455326,-0.07290667,-0.12815674,-0.05774556,-2.1890888027975266,1.2566924121163618,-66.09798144717524
